id,topic,geo_level,geo,year,number
92857,Cigarette Smoking among Adults,Borough,Bronx,2008,17.1
92858,Cigarette Smoking among Adults,Borough,Brooklyn,2008,16.3
92859,Cigarette Smoking among Adults,Borough,Manhattan,2008,13.7
92860,Cigarette Smoking among Adults,Borough,Queens,2008,15.4
92861,Cigarette Smoking among Adults,Borough,Staten Island,2008,21.3
92862,Cigarette Smoking among Adults,Borough,Bronx,2009,18.1
92863,Cigarette Smoking among Adults,Borough,Brooklyn,2009,16.1
92864,Cigarette Smoking among Adults,Borough,Manhattan,2009,15
92865,Cigarette Smoking among Adults,Borough,Queens,2009,14.6
92866,Cigarette Smoking among Adults,Borough,Staten Island,2009,19.7
92867,Cigarette Smoking among Adults,Borough,Bronx,2010,16.3
92868,Cigarette Smoking among Adults,Borough,Brooklyn,2010,13.9
92869,Cigarette Smoking among Adults,Borough,Manhattan,2010,12.9
92870,Cigarette Smoking among Adults,Borough,Queens,2010,14.2
92871,Cigarette Smoking among Adults,Borough,Staten Island,2010,13.9
120030,Cigarette Smoking among Adults,Borough,Bronx,2011,17.1
120031,Cigarette Smoking among Adults,Borough,Brooklyn,2011,16
120032,Cigarette Smoking among Adults,Borough,Manhattan,2011,12.6
120033,Cigarette Smoking among Adults,Borough,Queens,2011,12.3
120034,Cigarette Smoking among Adults,Borough,Staten Island,2011,25.6
124518,Cigarette Smoking among Adults,Borough,Bronx,2012,15.8
124519,Cigarette Smoking among Adults,Borough,Brooklyn,2012,16.1
124520,Cigarette Smoking among Adults,Borough,Manhattan,2012,15.6
124521,Cigarette Smoking among Adults,Borough,Queens,2012,14.9
124522,Cigarette Smoking among Adults,Borough,Staten Island,2012,16.6
180310,Cigarette Smoking among Adults,Borough,Bronx,2013,16.1
180311,Cigarette Smoking among Adults,Borough,Brooklyn,2013,16
180312,Cigarette Smoking among Adults,Borough,Manhattan,2013,15.4
180313,Cigarette Smoking among Adults,Borough,Queens,2013,16.5
180314,Cigarette Smoking among Adults,Borough,Staten Island,2013,18.5
93362,Cigarette Smoking among Adults,Neighborhood (UHF 42),Kingsbridge - Riverdale,2008,9.1
93363,Cigarette Smoking among Adults,Neighborhood (UHF 42),Northeast Bronx,2008,13.6
93364,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fordham - Bronx Pk,2008,20.1
93365,Cigarette Smoking among Adults,Neighborhood (UHF 42),Pelham - Throgs Neck,2008,18.5
93366,Cigarette Smoking among Adults,Neighborhood (UHF 42),Crotona -Tremont,2008,17.8
93367,Cigarette Smoking among Adults,Neighborhood (UHF 42),High Bridge - Morrisania,2008,17.8
93368,Cigarette Smoking among Adults,Neighborhood (UHF 42),Hunts Point - Mott Haven,2008,17.8
93369,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenpoint,2008,17.4
93370,Cigarette Smoking among Adults,Neighborhood (UHF 42),Downtown - Heights - Slope,2008,14.3
93371,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bedford Stuyvesant - Crown Heights,2008,21
93372,Cigarette Smoking among Adults,Neighborhood (UHF 42),East New York,2008,22.5
93373,Cigarette Smoking among Adults,Neighborhood (UHF 42),Sunset Park,2008,12.1
93374,Cigarette Smoking among Adults,Neighborhood (UHF 42),Borough Park,2008,11.4
93375,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Flatbush - Flatbush,2008,10.8
93376,Cigarette Smoking among Adults,Neighborhood (UHF 42),Canarsie - Flatlands,2008,16.4
93377,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bensonhurst - Bay Ridge,2008,20.6
93378,Cigarette Smoking among Adults,Neighborhood (UHF 42),Coney Island - Sheepshead Bay,2008,19.2
93379,Cigarette Smoking among Adults,Neighborhood (UHF 42),Williamsburg - Bushwick,2008,15.8
93380,Cigarette Smoking among Adults,Neighborhood (UHF 42),Washington Heights,2008,10.6
93381,Cigarette Smoking among Adults,Neighborhood (UHF 42),Central Harlem - Morningside Heights,2008,18
93382,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Harlem,2008,20.9
93383,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper West Side,2008,13.2
93384,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper East Side,2008,12.4
93386,Cigarette Smoking among Adults,Neighborhood (UHF 42),Chelsea - Clinton,2008,14.3
93385,Cigarette Smoking among Adults,Neighborhood (UHF 42),Gramercy Park - Murray Hill,2008,12.4
93387,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenwich Village - SoHo,2008,14.3
93388,Cigarette Smoking among Adults,Neighborhood (UHF 42),Union Square - Lower East Side,2008,13.4
93389,Cigarette Smoking among Adults,Neighborhood (UHF 42),Lower Manhattan,2008,13.4
93390,Cigarette Smoking among Adults,Neighborhood (UHF 42),Long Island City - Astoria,2008,16.8
93391,Cigarette Smoking among Adults,Neighborhood (UHF 42),West Queens,2008,19.6
93392,Cigarette Smoking among Adults,Neighborhood (UHF 42),Flushing - Clearview,2008,13.5
93393,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bayside - Little Neck,2008,13.4
93395,Cigarette Smoking among Adults,Neighborhood (UHF 42),Ridgewood - Forest Hills,2008,19.1
93394,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fresh Meadows,2008,13.4
93396,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southwest Queens,2008,17.2
93397,Cigarette Smoking among Adults,Neighborhood (UHF 42),Jamaica,2008,11.5
93398,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southeast Queens,2008,6.4
93399,Cigarette Smoking among Adults,Neighborhood (UHF 42),Rockaways,2008,14.2
93400,Cigarette Smoking among Adults,Neighborhood (UHF 42),Port Richmond,2008,21.7
93401,Cigarette Smoking among Adults,Neighborhood (UHF 42),Stapleton - St. George,2008,21.7
93402,Cigarette Smoking among Adults,Neighborhood (UHF 42),Willowbrook,2008,21
93403,Cigarette Smoking among Adults,Neighborhood (UHF 42),South Beach - Tottenville,2008,21
93404,Cigarette Smoking among Adults,Neighborhood (UHF 42),Kingsbridge - Riverdale,2009,14.5
93405,Cigarette Smoking among Adults,Neighborhood (UHF 42),Northeast Bronx,2009,15.5
93406,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fordham - Bronx Pk,2009,17
93407,Cigarette Smoking among Adults,Neighborhood (UHF 42),Pelham - Throgs Neck,2009,19.3
93408,Cigarette Smoking among Adults,Neighborhood (UHF 42),Crotona -Tremont,2009,20.4
93409,Cigarette Smoking among Adults,Neighborhood (UHF 42),High Bridge - Morrisania,2009,20.4
93410,Cigarette Smoking among Adults,Neighborhood (UHF 42),Hunts Point - Mott Haven,2009,20.4
93411,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenpoint,2009,12.8
93412,Cigarette Smoking among Adults,Neighborhood (UHF 42),Downtown - Heights - Slope,2009,14.3
93413,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bedford Stuyvesant - Crown Heights,2009,20.2
93414,Cigarette Smoking among Adults,Neighborhood (UHF 42),East New York,2009,12
93415,Cigarette Smoking among Adults,Neighborhood (UHF 42),Sunset Park,2009,12.4
93416,Cigarette Smoking among Adults,Neighborhood (UHF 42),Borough Park,2009,21.4
93417,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Flatbush - Flatbush,2009,10.4
93418,Cigarette Smoking among Adults,Neighborhood (UHF 42),Canarsie - Flatlands,2009,13.3
93419,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bensonhurst - Bay Ridge,2009,16.9
93420,Cigarette Smoking among Adults,Neighborhood (UHF 42),Coney Island - Sheepshead Bay,2009,15.7
93421,Cigarette Smoking among Adults,Neighborhood (UHF 42),Williamsburg - Bushwick,2009,23.2
93422,Cigarette Smoking among Adults,Neighborhood (UHF 42),Washington Heights,2009,10.7
93423,Cigarette Smoking among Adults,Neighborhood (UHF 42),Central Harlem - Morningside Heights,2009,21.9
93424,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Harlem,2009,12.9
93425,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper West Side,2009,9.7
93426,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper East Side,2009,15.4
93428,Cigarette Smoking among Adults,Neighborhood (UHF 42),Chelsea - Clinton,2009,16.7
93427,Cigarette Smoking among Adults,Neighborhood (UHF 42),Gramercy Park - Murray Hill,2009,15.4
93429,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenwich Village - SoHo,2009,16.7
93430,Cigarette Smoking among Adults,Neighborhood (UHF 42),Union Square - Lower East Side,2009,18.5
93431,Cigarette Smoking among Adults,Neighborhood (UHF 42),Lower Manhattan,2009,18.5
93432,Cigarette Smoking among Adults,Neighborhood (UHF 42),Long Island City - Astoria,2009,17.6
93433,Cigarette Smoking among Adults,Neighborhood (UHF 42),West Queens,2009,15.8
93434,Cigarette Smoking among Adults,Neighborhood (UHF 42),Flushing - Clearview,2009,16.3
93435,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bayside - Little Neck,2009,9.4
93437,Cigarette Smoking among Adults,Neighborhood (UHF 42),Ridgewood - Forest Hills,2009,17.6
93436,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fresh Meadows,2009,9.4
93438,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southwest Queens,2009,10.1
93439,Cigarette Smoking among Adults,Neighborhood (UHF 42),Jamaica,2009,13.4
93440,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southeast Queens,2009,9.8
93441,Cigarette Smoking among Adults,Neighborhood (UHF 42),Rockaways,2009,24.4
93442,Cigarette Smoking among Adults,Neighborhood (UHF 42),Port Richmond,2009,18.6
93443,Cigarette Smoking among Adults,Neighborhood (UHF 42),Stapleton - St. George,2009,18.6
93444,Cigarette Smoking among Adults,Neighborhood (UHF 42),Willowbrook,2009,19.2
93445,Cigarette Smoking among Adults,Neighborhood (UHF 42),South Beach - Tottenville,2009,19.2
93446,Cigarette Smoking among Adults,Neighborhood (UHF 42),Kingsbridge - Riverdale,2010,11.8
93447,Cigarette Smoking among Adults,Neighborhood (UHF 42),Northeast Bronx,2010,10
93448,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fordham - Bronx Pk,2010,15.9
93449,Cigarette Smoking among Adults,Neighborhood (UHF 42),Pelham - Throgs Neck,2010,16.5
93450,Cigarette Smoking among Adults,Neighborhood (UHF 42),Crotona -Tremont,2010,19.3
93451,Cigarette Smoking among Adults,Neighborhood (UHF 42),High Bridge - Morrisania,2010,19.3
93452,Cigarette Smoking among Adults,Neighborhood (UHF 42),Hunts Point - Mott Haven,2010,19.3
93453,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenpoint,2010,15.5
93454,Cigarette Smoking among Adults,Neighborhood (UHF 42),Downtown - Heights - Slope,2010,13
93455,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bedford Stuyvesant - Crown Heights,2010,18.9
93456,Cigarette Smoking among Adults,Neighborhood (UHF 42),East New York,2010,19.4
93457,Cigarette Smoking among Adults,Neighborhood (UHF 42),Sunset Park,2010,5
93458,Cigarette Smoking among Adults,Neighborhood (UHF 42),Borough Park,2010,11.7
93459,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Flatbush - Flatbush,2010,2.8
93460,Cigarette Smoking among Adults,Neighborhood (UHF 42),Canarsie - Flatlands,2010,9.1
93461,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bensonhurst - Bay Ridge,2010,24
93462,Cigarette Smoking among Adults,Neighborhood (UHF 42),Coney Island - Sheepshead Bay,2010,15.2
93463,Cigarette Smoking among Adults,Neighborhood (UHF 42),Williamsburg - Bushwick,2010,19.1
93464,Cigarette Smoking among Adults,Neighborhood (UHF 42),Washington Heights,2010,18.7
93465,Cigarette Smoking among Adults,Neighborhood (UHF 42),Central Harlem - Morningside Heights,2010,12.5
93466,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Harlem,2010,17.3
93467,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper West Side,2010,6.4
93468,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper East Side,2010,12.3
93470,Cigarette Smoking among Adults,Neighborhood (UHF 42),Chelsea - Clinton,2010,12.2
93469,Cigarette Smoking among Adults,Neighborhood (UHF 42),Gramercy Park - Murray Hill,2010,12.3
93471,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenwich Village - SoHo,2010,12.2
93472,Cigarette Smoking among Adults,Neighborhood (UHF 42),Union Square - Lower East Side,2010,11.7
93473,Cigarette Smoking among Adults,Neighborhood (UHF 42),Lower Manhattan,2010,11.7
93474,Cigarette Smoking among Adults,Neighborhood (UHF 42),Long Island City - Astoria,2010,18.8
93475,Cigarette Smoking among Adults,Neighborhood (UHF 42),West Queens,2010,13.4
93476,Cigarette Smoking among Adults,Neighborhood (UHF 42),Flushing - Clearview,2010,20.3
93477,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bayside - Little Neck,2010,7.2
93479,Cigarette Smoking among Adults,Neighborhood (UHF 42),Ridgewood - Forest Hills,2010,12.6
93478,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fresh Meadows,2010,7.2
93480,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southwest Queens,2010,17.1
93481,Cigarette Smoking among Adults,Neighborhood (UHF 42),Jamaica,2010,15.6
93482,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southeast Queens,2010,4.9
93483,Cigarette Smoking among Adults,Neighborhood (UHF 42),Rockaways,2010,18.1
93484,Cigarette Smoking among Adults,Neighborhood (UHF 42),Port Richmond,2010,14.7
93485,Cigarette Smoking among Adults,Neighborhood (UHF 42),Stapleton - St. George,2010,14.7
93486,Cigarette Smoking among Adults,Neighborhood (UHF 42),Willowbrook,2010,13.3
93487,Cigarette Smoking among Adults,Neighborhood (UHF 42),South Beach - Tottenville,2010,13.3
120760,Cigarette Smoking among Adults,Neighborhood (UHF 42),Kingsbridge - Riverdale,2011,13.7
120761,Cigarette Smoking among Adults,Neighborhood (UHF 42),Northeast Bronx,2011,13.3
120762,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fordham - Bronx Pk,2011,12
120763,Cigarette Smoking among Adults,Neighborhood (UHF 42),Pelham - Throgs Neck,2011,20.9
120764,Cigarette Smoking among Adults,Neighborhood (UHF 42),Crotona -Tremont,2011,20.4
120765,Cigarette Smoking among Adults,Neighborhood (UHF 42),High Bridge - Morrisania,2011,20.4
120766,Cigarette Smoking among Adults,Neighborhood (UHF 42),Hunts Point - Mott Haven,2011,20.4
120767,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenpoint,2011,16.2
120768,Cigarette Smoking among Adults,Neighborhood (UHF 42),Downtown - Heights - Slope,2011,10.4
120769,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bedford Stuyvesant - Crown Heights,2011,17.8
120770,Cigarette Smoking among Adults,Neighborhood (UHF 42),East New York,2011,19.1
120771,Cigarette Smoking among Adults,Neighborhood (UHF 42),Sunset Park,2011,30.5
120772,Cigarette Smoking among Adults,Neighborhood (UHF 42),Borough Park,2011,15.5
120773,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Flatbush - Flatbush,2011,14.2
120774,Cigarette Smoking among Adults,Neighborhood (UHF 42),Canarsie - Flatlands,2011,13.5
120775,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bensonhurst - Bay Ridge,2011,12.1
120776,Cigarette Smoking among Adults,Neighborhood (UHF 42),Coney Island - Sheepshead Bay,2011,19.4
120777,Cigarette Smoking among Adults,Neighborhood (UHF 42),Williamsburg - Bushwick,2011,12.8
120778,Cigarette Smoking among Adults,Neighborhood (UHF 42),Washington Heights,2011,11.6
120779,Cigarette Smoking among Adults,Neighborhood (UHF 42),Central Harlem - Morningside Heights,2011,16.7
120780,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Harlem,2011,19.6
