id,topic,geo_level,geo,year,number
101,Cigarette Smoking among Adults,Neighborhood (UHF 42),Kingsbridge - Riverdale,2008,9.1
102,Cigarette Smoking among Adults,Neighborhood (UHF 42),Northeast Bronx,2008,13.6
103,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fordham - Bronx Pk,2008,20.1
104,Cigarette Smoking among Adults,Neighborhood (UHF 42),Pelham - Throgs Neck,2008,18.5
105,Cigarette Smoking among Adults,Neighborhood (UHF 42),Crotona -Tremont,2008,17.8
106,Cigarette Smoking among Adults,Neighborhood (UHF 42),High Bridge - Morrisania,2008,17.8
107,Cigarette Smoking among Adults,Neighborhood (UHF 42),Hunts Point - Mott Haven,2008,17.8
201,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenpoint,2008,17.4
202,Cigarette Smoking among Adults,Neighborhood (UHF 42),Downtown - Heights - Slope,2008,14.3
203,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bedford Stuyvesant - Crown Heights,2008,21
204,Cigarette Smoking among Adults,Neighborhood (UHF 42),East New York,2008,22.5
205,Cigarette Smoking among Adults,Neighborhood (UHF 42),Sunset Park,2008,12.1
206,Cigarette Smoking among Adults,Neighborhood (UHF 42),Borough Park,2008,11.4
207,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Flatbush - Flatbush,2008,10.8
208,Cigarette Smoking among Adults,Neighborhood (UHF 42),Canarsie - Flatlands,2008,16.4
209,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bensonhurst - Bay Ridge,2008,20.6
210,Cigarette Smoking among Adults,Neighborhood (UHF 42),Coney Island - Sheepshead Bay,2008,19.2
211,Cigarette Smoking among Adults,Neighborhood (UHF 42),Williamsburg - Bushwick,2008,15.8
301,Cigarette Smoking among Adults,Neighborhood (UHF 42),Washington Heights,2008,10.6
302,Cigarette Smoking among Adults,Neighborhood (UHF 42),Central Harlem - Morningside Heights,2008,18
303,Cigarette Smoking among Adults,Neighborhood (UHF 42),East Harlem,2008,20.9
304,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper West Side,2008,13.2
305,Cigarette Smoking among Adults,Neighborhood (UHF 42),Upper East Side,2008,12.4
306,Cigarette Smoking among Adults,Neighborhood (UHF 42),Chelsea - Clinton,2008,14.3
307,Cigarette Smoking among Adults,Neighborhood (UHF 42),Gramercy Park - Murray Hill,2008,12.4
308,Cigarette Smoking among Adults,Neighborhood (UHF 42),Greenwich Village - SoHo,2008,14.3
309,Cigarette Smoking among Adults,Neighborhood (UHF 42),Union Square - Lower East Side,2008,13.4
310,Cigarette Smoking among Adults,Neighborhood (UHF 42),Lower Manhattan,2008,13.4
401,Cigarette Smoking among Adults,Neighborhood (UHF 42),Long Island City - Astoria,2008,16.8
402,Cigarette Smoking among Adults,Neighborhood (UHF 42),West Queens,2008,19.6
403,Cigarette Smoking among Adults,Neighborhood (UHF 42),Flushing - Clearview,2008,13.5
404,Cigarette Smoking among Adults,Neighborhood (UHF 42),Bayside - Little Neck,2008,13.4
405,Cigarette Smoking among Adults,Neighborhood (UHF 42),Ridgewood - Forest Hills,2008,19.1
406,Cigarette Smoking among Adults,Neighborhood (UHF 42),Fresh Meadows,2008,13.4
407,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southwest Queens,2008,17.2
408,Cigarette Smoking among Adults,Neighborhood (UHF 42),Jamaica,2008,11.5
409,Cigarette Smoking among Adults,Neighborhood (UHF 42),Southeast Queens,2008,6.4
410,Cigarette Smoking among Adults,Neighborhood (UHF 42),Rockaways,2008,14.2
501,Cigarette Smoking among Adults,Neighborhood (UHF 42),Port Richmond,2008,21.7
502,Cigarette Smoking among Adults,Neighborhood (UHF 42),Stapleton - St. George,2008,21.7
503,Cigarette Smoking among Adults,Neighborhood (UHF 42),Willowbrook,2008,21
504,Cigarette Smoking among Adults,Neighborhood (UHF 42),South Beach - Tottenville,2008,21
