id,topic,geo_level,geo,year,number
92857,Cigarette Smoking among Adults,Borough,Bronx,2008,17.1
92858,Cigarette Smoking among Adults,Borough,Brooklyn,2008,16.3
92859,Cigarette Smoking among Adults,Borough,Manhattan,2008,13.7
92860,Cigarette Smoking among Adults,Borough,Queens,2008,15.4
92861,Cigarette Smoking among Adults,Borough,Staten Island,2008,21.3
92862,Cigarette Smoking among Adults,Borough,Bronx,2009,18.1
92863,Cigarette Smoking among Adults,Borough,Brooklyn,2009,16.1
92864,Cigarette Smoking among Adults,Borough,Manhattan,2009,15
92865,Cigarette Smoking among Adults,Borough,Queens,2009,14.6
92866,Cigarette Smoking among Adults,Borough,Staten Island,2009,19.7
92867,Cigarette Smoking among Adults,Borough,Bronx,2010,16.3
92868,Cigarette Smoking among Adults,Borough,Brooklyn,2010,13.9
92869,Cigarette Smoking among Adults,Borough,Manhattan,2010,12.9
92870,Cigarette Smoking among Adults,Borough,Queens,2010,14.2
92871,Cigarette Smoking among Adults,Borough,Staten Island,2010,13.9
120030,Cigarette Smoking among Adults,Borough,Bronx,2011,17.1
120031,Cigarette Smoking among Adults,Borough,Brooklyn,2011,16
120032,Cigarette Smoking among Adults,Borough,Manhattan,2011,12.6
120033,Cigarette Smoking among Adults,Borough,Queens,2011,12.3
120034,Cigarette Smoking among Adults,Borough,Staten Island,2011,25.6
124518,Cigarette Smoking among Adults,Borough,Bronx,2012,15.8
124519,Cigarette Smoking among Adults,Borough,Brooklyn,2012,16.1
124520,Cigarette Smoking among Adults,Borough,Manhattan,2012,15.6
124521,Cigarette Smoking among Adults,Borough,Queens,2012,14.9
124522,Cigarette Smoking among Adults,Borough,Staten Island,2012,16.6
180310,Cigarette Smoking among Adults,Borough,Bronx,2013,16.1
180311,Cigarette Smoking among Adults,Borough,Brooklyn,2013,16
180312,Cigarette Smoking among Adults,Borough,Manhattan,2013,15.4
180313,Cigarette Smoking among Adults,Borough,Queens,2013,16.5
180314,Cigarette Smoking among Adults,Borough,Staten Island,2013,18.5
